virus;virus_clean;matched_virus;taxonomic_level;family_clean;ncbi_id;family;subfamily;genus;ncbi_species
Lassa mammarenaviridae;Mammarenavirus lassaense;Mammarenavirus lassaense;species;Arenaviridae;3052310;Arenaviridae;NA;Mammarenavirus;Mammarenavirus lassaense
Lassa mammarenavirus;Mammarenavirus lassaense;Mammarenavirus lassaense;species;Arenaviridae;3052310;Arenaviridae;NA;Mammarenavirus;Mammarenavirus lassaense
Lassavirus;Mammarenavirus lassaense;Mammarenavirus lassaense;species;Arenaviridae;3052310;Arenaviridae;NA;Mammarenavirus;Mammarenavirus lassaense
Latino mammarenavirus;Mammarenavirus latinum;Mammarenavirus latinum;species;Arenaviridae;3052311;Arenaviridae;NA;Mammarenavirus;Mammarenavirus latinum
Lechiguanas Virus;Orthohantavirus andesense;Orthohantavirus andesense;species;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Limestone Canyon Virus;Orthohantavirus montanoense;Orthohantavirus montanoense;species;Hantaviridae;3052486;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus montanoense
Limestone Canyon virus;Orthohantavirus montanoense;Orthohantavirus montanoense;species;Hantaviridae;3052486;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus montanoense
Lohja virus;Lohja virus;Lohja virus;species;Hantaviridae;1577652;Hantaviridae;Mammantavirinae;Orthohantavirus;Lohja virus
Luna Virus;Mammarenavirus lunaense;Mammarenavirus lunaense;species;Arenaviridae;3052315;Arenaviridae;NA;Mammarenavirus;Mammarenavirus lunaense
Luna virus;Mammarenavirus lunaense;Mammarenavirus lunaense;species;Arenaviridae;3052315;Arenaviridae;NA;Mammarenavirus;Mammarenavirus lunaense
Lunk virus;Mammarenavirus lunkense;Mammarenavirus lunkense;species;Arenaviridae;3052316;Arenaviridae;NA;Mammarenavirus;Mammarenavirus lunkense
Lymphocytic choriomeningitis mammarenavirus;Mammarenavirus choriomeningitidis;Mammarenavirus choriomeningitidis;species;Arenaviridae;3052303;Arenaviridae;NA;Mammarenavirus;Mammarenavirus choriomeningitidis
Lymphocytic choriomeningitis virus;Mammarenavirus choriomeningitidis;Mammarenavirus choriomeningitidis;species;Arenaviridae;3052303;Arenaviridae;NA;Mammarenavirus;Mammarenavirus choriomeningitidis
MJNV;Thottimvirus imjinense;Thottimvirus imjinense;species;Hantaviridae;3052788;Hantaviridae;Mammantavirinae;Thottimvirus;Thottimvirus imjinense
