virus;virus_clean;matched_virus;taxonomic_level;family_clean;ncbi_id;family;subfamily;genus;ncbi_species
Jabora Virus;Jabora virus;Jabora virus;species;Hantaviridae;436077;Hantaviridae;Mammantavirinae;Orthohantavirus;Jabora virus
Jabora virus;Jabora virus;Jabora virus;species;Hantaviridae;436077;Hantaviridae;Mammantavirinae;Orthohantavirus;Jabora virus
Jabora/Juquitiba virus;Orthohantavirus;Jabora virus;genus;Hantaviridae;436077;Hantaviridae;Mammantavirinae;Orthohantavirus;Jabora virus
Jabora/Juquitiba virus;Orthohantavirus;Juquitiba virus;genus;Hantaviridae;430511;Hantaviridae;Mammantavirinae;Orthohantavirus;Juquitiba virus
Jaborá hantavirus;Jabora virus;Jabora virus;species;Hantaviridae;436077;Hantaviridae;Mammantavirinae;Orthohantavirus;Jabora virus
Jeju Orthohantavirus;Orthohantavirus jejuense;Orthohantavirus jejuense;species;Hantaviridae;3052481;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus jejuense
Jilin-AP06 Virus;Orthohantavirus hantanense;Amur virus;species;Hantaviridae;86782;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
Junin Virus;Mammarenavirus juninense;Mammarenavirus juninense;species;Arenaviridae;2169991;Arenaviridae;NA;Mammarenavirus;Mammarenavirus juninense
Junin arenavirus;Mammarenavirus juninense;Mammarenavirus juninense;species;Arenaviridae;2169991;Arenaviridae;NA;Mammarenavirus;Mammarenavirus juninense
Junin mammarenavirus;Mammarenavirus juninense;Mammarenavirus juninense;species;Arenaviridae;2169991;Arenaviridae;NA;Mammarenavirus;Mammarenavirus juninense
Junin virus;Mammarenavirus juninense;Mammarenavirus juninense;species;Arenaviridae;2169991;Arenaviridae;NA;Mammarenavirus;Mammarenavirus juninense
Juquitiba Virus;Juquitiba virus;Juquitiba virus;species;Hantaviridae;430511;Hantaviridae;Mammantavirinae;Orthohantavirus;Juquitiba virus
Juquitiba virus;Juquitiba virus;Juquitiba virus;species;Hantaviridae;430511;Hantaviridae;Mammantavirinae;Orthohantavirus;Juquitiba virus
Juquitibia Virus;Juquitiba virus;Juquitiba virus;species;Hantaviridae;430511;Hantaviridae;Mammantavirinae;Orthohantavirus;Juquitiba virus
Juquitibia Virus/Araraquara Virus;Orthohantavirus;Juquitiba virus;genus;Hantaviridae;430511;Hantaviridae;Mammantavirinae;Orthohantavirus;Juquitiba virus
Juquitibia Virus/Araraquara Virus;Orthohantavirus;Araraquara virus;genus;Hantaviridae;139032;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Jurong Virus;Orthohantavirus;Jurong virus;genus;Hantaviridae;NA;NA;NA;NA;NA
KKMV;Orthohantavirus dobravaense;Orthohantavirus dobravaense;species;Hantaviridae;3052477;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus dobravaense
Kielder orthohantavirus;Kielder hantavirus;Kielder hantavirus;species;Hantaviridae;2072643;Hantaviridae;Mammantavirinae;Orthohantavirus;Kielder hantavirus
Kitale virus;Mammarenavirus kitaleense;Mammarenavirus kitaleense;species;Arenaviridae;3052309;Arenaviridae;NA;Mammarenavirus;Mammarenavirus kitaleense
Kodoko virus;Kodoko virus;Kodoko virus;species;Arenaviridae;434491;Arenaviridae;NA;NA;Kodoko virus
Korean Haemorrhagic Fever Virus/HTNV;Orthohantavirus hantanense;Orthohantavirus hantanense;species;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
Kurkino;Orthohantavirus dobravaense;Orthohantavirus dobravaense;species;Hantaviridae;3052477;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus dobravaense
Kurkino virus;Orthohantavirus dobravaense;Orthohantavirus dobravaense;species;Hantaviridae;3052477;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus dobravaense
Kwanza virus;Mammarenavirus kwanzaense;Mammarenavirus kwanzaense;species;Arenaviridae;2956184;Arenaviridae;NA;Mammarenavirus;Mammarenavirus kwanzaense
