virus_clean,family,taxonomic_level,assay_clean,host_species,host_genus,host_family,host_order,n_assayed,n_positive,prop_pos
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,1,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,2,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,3,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,2,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,1,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,1,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,11,1,0.09090909090909091
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,4,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,5,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,1,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,19,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,2,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,3,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,7,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,4,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,3,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,1,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,11,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,3,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,1,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,4,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,12,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,7,2,0.2857142857142857
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,4,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,5,0,0
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,23,3,0.13043478260869565
Orthohantavirus andesense,Hantaviridae,species,Serology,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,5,1,0.2
