rodent_record_id,study_id,scientificName,eventDate,locality,country,verbatimLocality,coordinate_resolution,decimalLatitude,decimalLongitude,individualCount,trapEffort,trapEffortResolution
21561,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21562,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21563,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21564,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21565,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21566,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21567,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21568,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21569,87,Mastomys natalensis,2007-06-06,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21570,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21571,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21572,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21573,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21574,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21575,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21576,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21577,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21578,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21579,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21580,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21581,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21582,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21583,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21584,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21585,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21586,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21587,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21588,87,Mastomys natalensis,2007-06-07,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21589,87,Mastomys natalensis,2007-07-03,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
21590,87,Mastomys natalensis,2007-07-03,Morogoro,Tanzania,Sokoine University of Agriculture,site,-6.84828,37.6588,1,99900,study
